1,DIREITO
2,PÓS-GRADUAÇÃO LATO SENSU
3,MEDICINA
5,SISTEMAS DE INFORMAÇÃO
6,NUTRIÇÃO
7,ADMINISTRAÇÃO
8,EDUCAÇÃO FÍSICA ( Bacharelado )
9,EDUCAÇÃO FÍSICA ( Licenciatura )
10,FARMÁCIA
11,PEDAGOGIA ( Licenciatura )
12,ENFERMAGEM
13,ENGENHARIA CIVIL
50,CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET
51,CURSO TÉCNICO EM PROGRAMAÇÃO DE JOGOS DIGITAIS
52,CURSO TÉCNICO EM MULTIMEIOS DIDÁTICOS
53,CURSO TÉCNICO EM LOGÍSTICA
54,CURSO TÉCNICO EM NUTRIÇÃO E DIETÉTICA
55,CURSO TÉCNICO EM ALIMENTAÇÃO ESCOLAR
56,CURSO TÉCNICO EM INFORMÁTICA
99,RESIDÊNCIA MÉDICA
